Epoch 1 Episode 535 Left:84 	 Right: 101	 None: 0	
Epoch 1 Episode 540 Left:132 	 Right: 118	 None: 0	
Epoch 1 Episode 545 Left:76 	 Right: 57	 None: 0	
Epoch 1 Episode 550 Left:151 	 Right: 88	 None: 0	
Epoch 1 Episode 555 Left:63 	 Right: 43	 None: 0	
Epoch 1 Episode 560 Left:118 	 Right: 104	 None: 0	
Epoch 1 Episode 565 Left:107 	 Right: 94	 None: 0	
Epoch 1 Episode 570 Left:80 	 Right: 57	 None: 0	
Epoch 1 Episode 575 Left:99 	 Right: 82	 None: 0	
Epoch 1 Episode 580 Left:98 	 Right: 48	 None: 0	
Epoch 1 Episode 585 Left:65 	 Right: 44	 None: 0	
Epoch 1 Episode 590 Left:78 	 Right: 75	 None: 0	
Epoch 1 Episode 595 Left:87 	 Right: 88	 None: 0	
Epoch 1 Episode 600 Left:146 	 Right: 104	 None: 0	
Epoch 1 Episode 605 Left:147 	 Right: 103	 None: 0	
Epoch 1 Episode 610 Left:72 	 Right: 33	 None: 0	
Epoch 1 Episode 615 Left:129 	 Right: 121	 None: 0	
Epoch 1 Episode 620 Left:115 	 Right: 101	 None: 0	
Epoch 1 Episode 625 Left:77 	 Right: 59	 None: 0	
Epoch 1 Episode 630 Left:56 	 Right: 36	 None: 0	
Epoch 1 Episode 635 Left:99 	 Right: 80	 None: 0	
Epoch 1 Episode 640 Left:144 	 Right: 106	 None: 0	
Epoch 1 Episode 645 Left:108 	 Right: 89	 None: 0	
Epoch 1 Episode 650 Left:127 	 Right: 123	 None: 0	
Epoch 1 Episode 655 Left:88 	 Right: 79	 None: 0	
Epoch 1 Episode 660 Left:66 	 Right: 43	 None: 0	
Epoch 1 Episode 665 Left:97 	 Right: 86	 None: 0	
Epoch 1 Episode 670 Left:56 	 Right: 78	 None: 1	
Epoch 1 Episode 675 Left:77 	 Right: 101	 None: 0	
Epoch 1 Episode 680 Left:76 	 Right: 83	 None: 0	
Epoch 1 Episode 685 Left:105 	 Right: 75	 None: 0	
Epoch 1 Episode 690 Left:109 	 Right: 79	 None: 1	
Epoch 1 Episode 695 Left:134 	 Right: 116	 None: 0	
Epoch 1 Episode 700 Left:91 	 Right: 89	 None: 0	
Epoch 1 Episode 705 Left:117 	 Right: 106	 None: 0	
Epoch 1 Episode 710 Left:73 	 Right: 89	 None: 0	
Epoch 1 Episode 715 Left:90 	 Right: 87	 None: 0	
Epoch 1 Episode 720 Left:68 	 Right: 89	 None: 0	
Epoch 1 Episode 725 Left:87 	 Right: 116	 None: 0	
Epoch 1 Episode 730 Left:90 	 Right: 111	 None: 0	
Epoch 1 Episode 735 Left:48 	 Right: 68	 None: 0	
Epoch 1 Episode 740 Left:92 	 Right: 90	 None: 0	
Epoch 1 Episode 745 Left:63 	 Right: 90	 None: 0	
Epoch 1 Episode 750 Left:102 	 Right: 106	 None: 0	
Epoch 1 Episode 755 Left:94 	 Right: 108	 None: 0	
Epoch 1 Episode 760 Left:49 	 Right: 73	 None: 1	
Epoch 1 Episode 765 Left:99 	 Right: 102	 None: 0	
Epoch 1 Episode 770 Left:94 	 Right: 91	 None: 0	
Epoch 1 Episode 775 Left:119 	 Right: 131	 None: 0	
Epoch 1 Episode 780 Left:66 	 Right: 86	 None: 0	
Epoch 1 Episode 785 Left:112 	 Right: 105	 None: 0	
Epoch 1 Episode 790 Left:65 	 Right: 90	 None: 0	
Epoch 1 Episode 795 Left:94 	 Right: 134	 None: 0	
Epoch 1 Episode 800 Left:59 	 Right: 56	 None: 0	
Epoch 1 Episode 805 Left:118 	 Right: 116	 None: 0	
Epoch 1 Episode 810 Left:79 	 Right: 75	 None: 0	
Epoch 1 Episode 815 Left:110 	 Right: 94	 None: 0	
Epoch 1 Episode 820 Left:70 	 Right: 83	 None: 1	
Epoch 1 Episode 825 Left:65 	 Right: 49	 None: 0	
Epoch 1 Episode 830 Left:102 	 Right: 83	 None: 0	
Epoch 1 Episode 835 Left:96 	 Right: 70	 None: 1	
Epoch 1 Episode 840 Left:111 	 Right: 89	 None: 0	
Epoch 1 Episode 845 Left:36 	 Right: 24	 None: 0	
Epoch 1 Episode 850 Left:133 	 Right: 117	 None: 0	
Epoch 1 Episode 855 Left:69 	 Right: 64	 None: 0	
Epoch 1 Episode 860 Left:95 	 Right: 100	 None: 0	
Epoch 1 Episode 865 Left:100 	 Right: 123	 None: 0	
Epoch 1 Episode 870 Left:71 	 Right: 88	 None: 0	
Epoch 1 Episode 875 Left:91 	 Right: 110	 None: 0	
Epoch 1 Episode 880 Left:91 	 Right: 95	 None: 0	
Epoch 1 Episode 885 Left:87 	 Right: 86	 None: 1	
Epoch 1 Episode 890 Left:99 	 Right: 108	 None: 0	
Epoch 1 Episode 895 Left:106 	 Right: 127	 None: 0	
